;First Name;Last Name;Date;Iteration;Row Type;Iter Number;Power1;Speed1;Speed2;Electricity;Effort;Weight;Torque
1742; Person; Human; end of time;196;Average;801;290;388;696;881;542;436;812
1743; Person; Human; end of time;196;Maximum;487;862;714;658;712;419;63;149
1744; Person; Human; end of time;196;Std.Dev.;785;355;613;15;881;874;122;178
1745; Person; Human; end of time;196;Total;367;-;-;-;-;623;150;548
1747; Person; Human; end of time;197;Iter;1;957;811;892;786;154;865;354
1748; Person; Human; end of time;197;Iter;2;115;147;629;133;87;376;202
1749; Person; Human; end of time;197;Iter;3;950;299;529;747;190;970;272
1750; Person; Human; end of time;197;Average;729;654;169;615;459;757;909;929
1751; Person; Human; end of time;197;Maximum;959;406;947;470;135;110;59;249
1752; Person; Human; end of time;197;Std.Dev.;637;840;849;643;196;242;841;61
1753; Person; Human; end of time;197;Total;3;-;-;-;-;356;364;392
1755; Person; Human; end of time;198;Iter;1;58;744;366;935;19;379;844
1756; Person; Human; end of time;198;Iter;2;835;97;744;107;305;81;859
1757; Person; Human; end of time;198;Average;545;341;137;259;718;847;655;224
1758; Person; Human; end of time;198;Maximum;428;620;410;966;68;87;6;610
1759; Person; Human; end of time;198;Std.Dev.;853;641;789;753;642;165;637;355
1760; Person; Human; end of time;198;Total;171;-;-;-;-;969;56;887
1762; Person; Human; end of time;199;Iter;1;899;954;609;56;153;56;344
1763; Person; Human; end of time;199;Iter;2;308;806;808;17;532;546;238
1764; Person; Human; end of time;199;Iter;3;486;238;702;307;598;692;928
1765; Person; Human; end of time;199;Average;475;521;184;71;464;308;261;957
1766; Person; Human; end of time;199;Maximum;511;853;930;161;718;914;891;371
1767; Person; Human; end of time;199;Std.Dev.;539;435;314;820;113;69;904;191
1768; Person; Human; end of time;199;Total;280;-;-;-;-;852;573;263
1770; Person; Human; end of time;200;Iter;1;335;800;41;264;577;824;792
1771; Person; Human; end of time;200;Iter;2;291;565;582;743;895;172;730
1772; Person; Human; end of time;200;Iter;3;485;673;126;420;177;628;899
1773; Person; Human; end of time;200;Average;156;677;991;491;780;571;172;37
1774; Person; Human; end of time;200;Maximum;14;296;257;359;146;342;949;443
1775; Person; Human; end of time;200;Std.Dev.;159;531;226;120;477;73;118;643
1776; Person; Human; end of time;200;Total;378;-;-;-;-;865;699;982
1778; Person; Human; end of time;201;Iter;1;413;291;793;999;809;485;222
1779; Person; Human; end of time;201;Iter;2;67;535;341;864;358;444;944
1780; Person; Human; end of time;201;Iter;3;127;580;649;321;907;164;615
1781; Person; Human; end of time;201;Average;839;86;458;716;160;834;479;743
1782; Person; Human; end of time;201;Maximum;24;985;889;330;210;514;337;838
1783; Person; Human; end of time;201;Std.Dev.;431;454;61;464;817;111;333;244
1784; Person; Human; end of time;201;Total;303;-;-;-;-;965;338;938
1786; Person; Human; end of time;202;Iter;1;984;364;179;179;998;663;544
1787; Person; Human; end of time;202;Iter;2;218;466;142;815;859;656;833
1788; Person; Human; end of time;202;Iter;3;276;452;487;966;194;704;681
1789; Person; Human; end of time;202;Iter;4;911;456;289;352;13;27;210
1790; Person; Human; end of time;202;Iter;5;177;395;325;119;292;591;997
1791; Person; Human; end of time;202;Average;316;969;88;199;937;175;729;993
1792; Person; Human; end of time;202;Maximum;575;89;836;630;77;455;925;892
1793; Person; Human; end of time;202;Std.Dev.;119;151;475;729;633;713;488;854
1794; Person; Human; end of time;202;Total;789;-;-;-;-;194;72;743
1796; Person; Human; end of time;203;Iter;1;909;816;510;601;810;200;161
1797; Person; Human; end of time;203;Iter;2;652;434;917;153;928;670;586
1798; Person; Human; end of time;203;Iter;3;969;59;181;223;537;591;57
1799; Person; Human; end of time;203;Iter;4;504;396;509;554;492;50;934
1800; Person; Human; end of time;203;Iter;5;944;996;638;456;229;964;270
1801; Person; Human; end of time;203;Average;865;20;868;427;75;237;851;1
1802; Person; Human; end of time;203;Maximum;313;589;328;523;584;715;321;52
1803; Person; Human; end of time;203;Std.Dev.;578;820;9;620;518;110;421;17
1804; Person; Human; end of time;203;Total;346;-;-;-;-;582;534;385
1806; Person; Human; end of time;204;Iter;1;678;113;771;401;452;791;265
1807; Person; Human; end of time;204;Iter;2;990;479;804;304;553;387;818
1808; Person; Human; end of time;204;Iter;3;258;749;863;625;798;432;118
1809; Person; Human; end of time;204;Average;260;311;374;851;730;411;840;664
1810; Person; Human; end of time;204;Maximum;729;694;573;235;577;480;161;835
1811; Person; Human; end of time;204;Std.Dev.;851;70;972;625;907;270;287;839
1812; Person; Human; end of time;204;Total;883;-;-;-;-;871;345;697
1814; Person; Human; end of time;205;Iter;1;922;323;677;256;598;341;445
1815; Person; Human; end of time;205;Iter;2;510;252;546;568;778;919;393
1816; Person; Human; end of time;205;Iter;3;47;967;215;206;469;588;814
1817; Person; Human; end of time;205;Iter;4;545;273;688;819;701;284;568
1818; Person; Human; end of time;205;Iter;5;494;20;985;514;725;245;885
1819; Person; Human; end of time;205;Average;405;954;738;552;172;408;782;841
1820; Person; Human; end of time;205;Maximum;91;295;178;765;522;970;129;947
1821; Person; Human; end of time;205;Std.Dev.;925;67;254;583;775;697;25;490
1822; Person; Human; end of time;205;Total;832;-;-;-;-;186;918;53
1824; Person; Human; end of time;206;Iter;1;735;925;990;273;488;337;899
1825; Person; Human; end of time;206;Iter;2;383;228;567;502;490;522;40
1826; Person; Human; end of time;206;Iter;3;485;591;289;124;793;287;847
1827; Person; Human; end of time;206;Iter;4;811;674;661;379;129;285;588
1828; Person; Human; end of time;206;Iter;5;50;166;885;958;789;944;592
1829; Person; Human; end of time;206;Average;324;997;459;238;934;982;679;112
1830; Person; Human; end of time;206;Maximum;378;513;25;521;747;912;732;54
1831; Person; Human; end of time;206;Std.Dev.;678;585;834;826;572;164;481;665
1832; Person; Human; end of time;206;Total;813;-;-;-;-;341;459;333
1834; Person; Human; end of time;207;Iter;1;944;799;940;774;413;1;314
1835; Person; Human; end of time;207;Iter;2;172;686;564;266;320;345;466
1836; Person; Human; end of time;207;Iter;3;754;295;500;590;970;301;478
1837; Person; Human; end of time;207;Iter;4;205;50;476;789;860;4;16
1838; Person; Human; end of time;207;Iter;5;850;10;613;201;195;920;422
1839; Person; Human; end of time;207;Average;46;708;184;458;860;714;965;598
1840; Person; Human; end of time;207;Maximum;532;66;972;257;386;900;490;259
1841; Person; Human; end of time;207;Std.Dev.;243;23;576;295;61;412;604;183
1842; Person; Human; end of time;207;Total;376;-;-;-;-;777;661;504
1844; Person; Human; end of time;208;Iter;1;167;821;780;241;310;718;244
1845; Person; Human; end of time;208;Iter;2;692;241;557;706;53;289;603
1846; Person; Human; end of time;208;Iter;3;629;510;45;772;393;398;902
1847; Person; Human; end of time;208;Average;748;646;54;302;970;912;652;624
1848; Person; Human; end of time;208;Maximum;513;784;161;809;822;106;893;393
1849; Person; Human; end of time;208;Std.Dev.;496;457;460;406;582;172;271;281
1850; Person; Human; end of time;208;Total;582;-;-;-;-;387;960;499
1852; Person; Human; end of time;209;Iter;1;191;567;35;937;547;427;645
1853; Person; Human; end of time;209;Iter;2;276;613;370;904;409;377;27
1854; Person; Human; end of time;209;Iter;3;363;152;313;390;840;692;487
1855; Person; Human; end of time;209;Average;764;946;475;542;648;861;591;289
1856; Person; Human; end of time;209;Maximum;610;453;638;432;185;13;842;829
1857; Person; Human; end of time;209;Std.Dev.;23;565;111;680;270;23;425;135
1858; Person; Human; end of time;209;Total;240;-;-;-;-;268;790;808
1860; Person; Human; end of time;210;Iter;1;331;774;306;534;310;320;881
1861; Person; Human; end of time;210;Iter;2;116;810;535;885;320;172;680
1862; Person; Human; end of time;210;Iter;3;379;392;348;747;446;729;460
1863; Person; Human; end of time;210;Average;540;388;216;156;96;775;882;203
1864; Person; Human; end of time;210;Maximum;224;421;422;534;60;620;1;938
1865; Person; Human; end of time;210;Std.Dev.;807;341;673;728;25;23;648;666
1866; Person; Human; end of time;210;Total;531;-;-;-;-;722;317;287
1868; Person; Human; end of time;211;Iter;1;499;296;466;50;217;356;38
1869; Person; Human; end of time;211;Iter;2;702;617;720;681;497;268;640
1870; Person; Human; end of time;211;Iter;3;682;926;360;345;566;248;39
1871; Person; Human; end of time;211;Average;113;556;855;643;666;125;500;727
1872; Person; Human; end of time;211;Maximum;568;7;656;161;335;205;673;202
1873; Person; Human; end of time;211;Std.Dev.;319;755;904;498;243;43;988;608
1874; Person; Human; end of time;211;Total;374;-;-;-;-;475;248;591
1876; Person; Human; end of time;212;Iter;1;458;588;829;130;584;734;727
1877; Person; Human; end of time;212;Iter;2;694;175;373;524;282;287;549
1878; Person; Human; end of time;212;Iter;3;934;521;783;203;711;424;671
1879; Person; Human; end of time;212;Iter;4;897;406;617;791;683;774;836
1880; Person; Human; end of time;212;Iter;5;152;202;994;508;653;793;137
1881; Person; Human; end of time;212;Average;914;390;669;792;680;138;416;701
1882; Person; Human; end of time;212;Maximum;502;409;547;159;122;99;494;165
1883; Person; Human; end of time;212;Std.Dev.;715;672;412;794;913;393;63;154
1884; Person; Human; end of time;212;Total;4;-;-;-;-;152;149;105
1886; Person; Human; end of time;213;Iter;1;491;763;223;630;562;790;738
1887; Person; Human; end of time;213;Iter;2;591;304;34;141;963;830;670
1888; Person; Human; end of time;213;Iter;3;124;529;961;376;323;299;382
1889; Person; Human; end of time;213;Average;146;373;566;947;818;244;702;440
1890; Person; Human; end of time;213;Maximum;445;332;37;718;489;76;700;610
1891; Person; Human; end of time;213;Std.Dev.;491;496;962;379;24;992;531;147
1892; Person; Human; end of time;213;Total;482;-;-;-;-;483;754;748
1894; Person; Human; end of time;214;Iter;1;482;646;638;745;953;479;928
1895; Person; Human; end of time;214;Iter;2;49;217;10;892;618;41;489
1896; Person; Human; end of time;214;Iter;3;51;602;426;652;924;696;623
1897; Person; Human; end of time;214;Iter;4;91;623;649;121;812;990;190
1898; Person; Human; end of time;214;Iter;5;268;244;78;738;102;973;285
1899; Person; Human; end of time;214;Average;463;199;830;823;804;336;666;583
1900; Person; Human; end of time;214;Maximum;785;776;865;151;887;376;292;99
1901; Person; Human; end of time;214;Std.Dev.;922;969;377;928;221;587;17;408
1902; Person; Human; end of time;214;Total;707;-;-;-;-;893;197;84
1904; Person; Human; end of time;215;Iter;1;652;206;922;187;664;647;714
1905; Person; Human; end of time;215;Iter;2;351;526;644;3;207;741;726
1906; Person; Human; end of time;215;Iter;3;34;248;289;229;194;761;742
1907; Person; Human; end of time;215;Iter;4;354;495;341;466;408;416;246
1908; Person; Human; end of time;215;Iter;5;712;972;209;915;563;527;612
1909; Person; Human; end of time;215;Iter;6;10;109;481;773;900;410;213
1910; Person; Human; end of time;215;Average;759;211;881;182;346;171;150;228
1911; Person; Human; end of time;215;Maximum;857;782;162;117;443;183;468;697
1912; Person; Human; end of time;215;Std.Dev.;9;169;581;671;767;940;715;920
1913; Person; Human; end of time;215;Total;962;-;-;-;-;585;422;221
1915; Person; Human; end of time;216;Iter;1;43;796;144;497;426;827;220
1916; Person; Human; end of time;216;Iter;2;669;724;622;763;917;656;322
1917; Person; Human; end of time;216;Iter;3;648;507;451;582;597;904;406
1918; Person; Human; end of time;216;Iter;4;430;131;931;371;935;313;909
1919; Person; Human; end of time;216;Average;454;592;900;223;485;319;115;899
1920; Person; Human; end of time;216;Maximum;26;958;202;888;35;151;703;628
1921; Person; Human; end of time;216;Std.Dev.;822;344;255;819;727;334;173;847
1922; Person; Human; end of time;216;Total;963;-;-;-;-;478;750;127
1924; Person; Human; end of time;217;Iter;1;884;300;300;347;201;79;993
1925; Person; Human; end of time;217;Iter;2;165;932;207;215;693;908;216
1926; Person; Human; end of time;217;Iter;3;159;121;273;326;964;235;939
1927; Person; Human; end of time;217;Iter;4;283;901;786;547;786;978;500
1928; Person; Human; end of time;217;Average;194;680;270;935;168;754;588;190
1929; Person; Human; end of time;217;Maximum;362;759;62;222;437;352;316;269
1930; Person; Human; end of time;217;Std.Dev.;136;983;11;531;666;904;49;921
1931; Person; Human; end of time;217;Total;112;-;-;-;-;121;564;694
1933; Person; Human; end of time;218;Iter;1;415;827;144;365;340;552;960
1934; Person; Human; end of time;218;Iter;2;477;46;340;889;225;66;548
1935; Person; Human; end of time;218;Iter;3;503;835;244;528;980;397;552
1936; Person; Human; end of time;218;Iter;4;199;209;467;547;846;372;487
1937; Person; Human; end of time;218;Iter;5;427;125;303;609;901;785;576
1938; Person; Human; end of time;218;Average;833;111;434;12;323;877;743;524
1939; Person; Human; end of time;218;Maximum;440;316;385;207;730;868;108;570
1940; Person; Human; end of time;218;Std.Dev.;741;543;191;981;644;341;395;370
1941; Person; Human; end of time;218;Total;846;-;-;-;-;999;576;442
1943; Person; Human; end of time;219;Iter;1;398;561;711;442;865;387;491
1944; Person; Human; end of time;219;Iter;2;955;450;172;113;769;355;671
1945; Person; Human; end of time;219;Iter;3;246;828;281;450;702;873;46
1946; Person; Human; end of time;219;Average;912;414;72;439;91;634;614;326
1947; Person; Human; end of time;219;Maximum;967;664;541;302;614;982;169;968
1948; Person; Human; end of time;219;Std.Dev.;408;437;185;572;659;302;98;78
1949; Person; Human; end of time;219;Total;530;-;-;-;-;548;1;23
1951; Person; Human; end of time;220;Iter;1;351;491;716;379;518;372;827
1952; Person; Human; end of time;220;Iter;2;68;106;859;61;73;59;575
1953; Person; Human; end of time;220;Iter;3;943;337;460;130;575;996;99
1954; Person; Human; end of time;220;Average;149;246;550;658;897;853;241;730
1955; Person; Human; end of time;220;Maximum;1;411;919;30;205;438;15;955
1956; Person; Human; end of time;220;Std.Dev.;103;478;461;835;211;237;270;637
1957; Person; Human; end of time;220;Total;676;-;-;-;-;916;876;100
1959; Person; Human; end of time;221;Iter;1;564;10;760;812;903;898;176
1960; Person; Human; end of time;221;Iter;2;872;850;636;704;306;256;10
1961; Person; Human; end of time;221;Iter;3;809;99;485;325;397;921;918
1962; Person; Human; end of time;221;Average;249;982;778;489;351;222;639;441
1963; Person; Human; end of time;221;Maximum;695;468;724;582;322;430;649;277
1964; Person; Human; end of time;221;Std.Dev.;774;364;374;194;25;746;772;287
1965; Person; Human; end of time;221;Total;73;-;-;-;-;129;245;727
1967; Person; Human; end of time;222;Iter;1;556;649;618;337;707;516;255
1968; Person; Human; end of time;222;Iter;2;516;432;223;508;879;445;480
1969; Person; Human; end of time;222;Iter;3;951;876;963;655;344;520;207
1970; Person; Human; end of time;222;Average;627;913;676;910;173;30;502;952
1971; Person; Human; end of time;222;Maximum;140;354;306;577;925;359;776;143
1972; Person; Human; end of time;222;Std.Dev.;486;382;840;165;763;14;706;280
1973; Person; Human; end of time;222;Total;855;-;-;-;-;99;815;660
1975; Person; Human; end of time;223;Iter;1;718;966;621;864;172;996;194
1976; Person; Human; end of time;223;Iter;2;57;621;376;749;244;117;911
1977; Person; Human; end of time;223;Iter;3;64;115;35;451;483;386;957
1978; Person; Human; end of time;223;Average;668;265;765;938;433;492;415;127
1979; Person; Human; end of time;223;Maximum;741;715;44;924;986;671;555;913
1980; Person; Human; end of time;223;Std.Dev.;938;454;647;849;850;617;18;7
1981; Person; Human; end of time;223;Total;476;-;-;-;-;601;425;342
1983; Person; Human; end of time;224;Iter;1;945;720;875;351;641;811;706
1984; Person; Human; end of time;224;Iter;2;310;118;383;949;137;578;755
1985; Person; Human; end of time;224;Iter;3;871;161;422;775;668;684;237
1986; Person; Human; end of time;224;Average;1;188;197;303;730;544;829;997
1987; Person; Human; end of time;224;Maximum;634;203;53;532;21;878;440;567
1988; Person; Human; end of time;224;Std.Dev.;39;816;764;60;67;451;575;953
1989; Person; Human; end of time;224;Total;845;-;-;-;-;620;990;522
1991; Person; Human; end of time;225;Iter;1;201;403;517;649;405;271;256
1992; Person; Human; end of time;225;Iter;2;448;486;231;739;931;952;615
1993; Person; Human; end of time;225;Iter;3;482;280;160;709;302;478;416
1994; Person; Human; end of time;225;Iter;4;249;747;57;480;992;423;815
1995; Person; Human; end of time;225;Iter;5;808;396;403;544;616;367;656
1996; Person; Human; end of time;225;Average;924;542;677;703;550;625;33;10
1997; Person; Human; end of time;225;Maximum;300;615;628;173;934;582;923;497
1998; Person; Human; end of time;225;Std.Dev.;226;481;862;389;299;346;297;753
1999; Person; Human; end of time;225;Total;608;-;-;-;-;479;45;501
2001; Person; Human; end of time;226;Iter;1;951;390;769;266;188;576;424
2002; Person; Human; end of time;226;Iter;2;736;428;382;889;803;650;966
2003; Person; Human; end of time;226;Iter;3;533;522;677;232;289;878;34
2004; Person; Human; end of time;226;Average;801;480;511;982;978;12;236;96
2005; Person; Human; end of time;226;Maximum;427;222;171;520;759;796;190;232
2006; Person; Human; end of time;226;Std.Dev.;267;228;994;277;764;937;365;315
2007; Person; Human; end of time;226;Total;767;-;-;-;-;185;502;376
2009; Person; Human; end of time;227;Iter;1;29;487;197;826;983;727;754
2010; Person; Human; end of time;227;Iter;2;853;473;897;992;513;356;256
2011; Person; Human; end of time;227;Iter;3;559;970;769;347;64;131;289
2012; Person; Human; end of time;227;Average;105;181;925;253;801;955;515;310
2013; Person; Human; end of time;227;Maximum;272;106;307;945;963;327;764;48
2014; Person; Human; end of time;227;Std.Dev.;864;240;1;435;336;331;247;845
2015; Person; Human; end of time;227;Total;402;-;-;-;-;753;849;7
2017; Person; Human; end of time;228;Iter;1;840;692;426;124;378;636;623
2018; Person; Human; end of time;228;Iter;2;738;994;857;369;929;400;926
2019; Person; Human; end of time;228;Iter;3;657;429;180;430;438;742;263
2020; Person; Human; end of time;228;Average;80;508;948;503;300;50;625;152
2021; Person; Human; end of time;228;Maximum;90;877;227;323;840;638;956;2
2022; Person; Human; end of time;228;Std.Dev.;647;119;815;817;165;547;712;284
2023; Person; Human; end of time;228;Total;179;-;-;-;-;167;62;977
2025; Person; Human; end of time;229;Iter;1;712;457;65;408;113;643;627
2026; Person; Human; end of time;229;Iter;2;348;84;544;710;774;829;694
2027; Person; Human; end of time;229;Iter;3;619;988;389;933;762;338;905
2028; Person; Human; end of time;229;Average;325;770;213;904;546;800;796;835
2029; Person; Human; end of time;229;Maximum;759;826;437;622;160;684;146;346
2030; Person; Human; end of time;229;Std.Dev.;771;715;777;832;750;274;423;724
2031; Person; Human; end of time;229;Total;317;-;-;-;-;830;427;555
2033; Person; Human; end of time;230;Iter;1;470;245;94;49;151;413;258
2034; Person; Human; end of time;230;Iter;2;486;336;231;848;987;145;322
2035; Person; Human; end of time;230;Iter;3;987;124;973;293;810;806;169
2036; Person; Human; end of time;230;Iter;4;21;562;392;130;453;261;639
2037; Person; Human; end of time;230;Iter;5;179;856;159;519;706;760;797
2038; Person; Human; end of time;230;Average;444;289;187;639;624;755;884;553
2039; Person; Human; end of time;230;Maximum;886;198;483;585;927;157;598;55
2040; Person; Human; end of time;230;Std.Dev.;81;305;607;896;231;317;242;25
2041; Person; Human; end of time;230;Total;150;-;-;-;-;76;831;992
2043; Person; Human; end of time;231;Iter;1;468;177;257;529;694;637;754
2044; Person; Human; end of time;231;Iter;2;1000;833;936;895;133;59;945
2045; Person; Human; end of time;231;Iter;3;598;137;408;950;911;905;390
2046; Person; Human; end of time;231;Iter;4;578;314;386;450;763;410;50
2047; Person; Human; end of time;231;Iter;5;466;20;884;822;698;877;31
2048; Person; Human; end of time;231;Average;163;63;507;192;188;84;562;107
2049; Person; Human; end of time;231;Maximum;798;78;217;605;195;617;329;929
2050; Person; Human; end of time;231;Std.Dev.;523;555;565;41;154;313;456;41
2051; Person; Human; end of time;231;Total;930;-;-;-;-;183;980;132
2053; Person; Human; end of time;232;Iter;1;114;238;292;810;83;731;973
2054; Person; Human; end of time;232;Iter;2;497;243;394;936;444;215;732
2055; Person; Human; end of time;232;Iter;3;781;245;424;703;477;842;251
2056; Person; Human; end of time;232;Average;714;872;195;27;134;646;853;709
2057; Person; Human; end of time;232;Maximum;394;451;47;551;361;970;486;310
2058; Person; Human; end of time;232;Std.Dev.;90;731;326;373;322;298;452;45
2059; Person; Human; end of time;232;Total;833;-;-;-;-;587;747;311
2061; Person; Human; end of time;233;Iter;1;197;44;846;686;948;530;294
2062; Person; Human; end of time;233;Iter;2;622;90;518;452;97;181;100
2063; Person; Human; end of time;233;Iter;3;735;582;517;244;869;777;315
2064; Person; Human; end of time;233;Average;494;827;716;567;901;595;548;541
2065; Person; Human; end of time;233;Maximum;229;362;644;880;641;405;676;796
2066; Person; Human; end of time;233;Std.Dev.;598;579;252;160;362;10;398;30
2067; Person; Human; end of time;233;Total;976;-;-;-;-;975;480;130
2069; Person; Human; end of time;234;Iter;1;189;40;3;788;961;409;728
2070; Person; Human; end of time;234;Iter;2;782;341;437;531;497;774;232
2071; Person; Human; end of time;234;Iter;3;912;130;755;892;362;681;721
2072; Person; Human; end of time;234;Average;895;258;578;911;193;859;440;330
2073; Person; Human; end of time;234;Maximum;857;201;542;32;762;228;759;785
2074; Person; Human; end of time;234;Std.Dev.;520;43;234;760;337;429;882;744
2075; Person; Human; end of time;234;Total;316;-;-;-;-;174;228;604
2077; Person; Human; end of time;235;Iter;1;510;51;496;712;351;538;17
2078; Person; Human; end of time;235;Iter;2;822;326;807;426;296;101;250
2079; Person; Human; end of time;235;Iter;3;206;141;80;747;801;78;654
2080; Person; Human; end of time;235;Iter;4;113;405;352;581;514;861;542
2081; Person; Human; end of time;235;Iter;5;946;984;389;669;954;647;589
2082; Person; Human; end of time;235;Average;373;626;439;193;339;482;809;734
2083; Person; Human; end of time;235;Maximum;616;421;653;427;795;105;470;993
2084; Person; Human; end of time;235;Std.Dev.;998;474;971;179;817;630;704;716
2085; Person; Human; end of time;235;Total;32;-;-;-;-;15;566;932
2087; Person; Human; end of time;236;Iter;1;138;338;113;521;86;285;551
2088; Person; Human; end of time;236;Iter;2;805;230;801;46;370;126;427
2089; Person; Human; end of time;236;Iter;3;494;536;174;115;150;441;360
2090; Person; Human; end of time;236;Average;224;745;9;610;159;899;289;730
2091; Person; Human; end of time;236;Maximum;592;189;949;483;805;676;690;648
2092; Person; Human; end of time;236;Std.Dev.;996;889;383;742;516;932;980;307
2093; Person; Human; end of time;236;Total;933;-;-;-;-;903;291;582
2095; Person; Human; end of time;237;Iter;1;405;497;240;374;272;655;629
2096; Person; Human; end of time;237;Iter;2;583;45;707;548;2;16;582
2097; Person; Human; end of time;237;Iter;3;712;499;335;959;857;245;835
2098; Person; Human; end of time;237;Average;758;761;528;14;770;870;308;354
2099; Person; Human; end of time;237;Maximum;615;482;141;199;973;719;765;810
2100; Person; Human; end of time;237;Std.Dev.;380;152;552;476;962;911;106;96
2101; Person; Human; end of time;237;Total;932;-;-;-;-;820;654;722
2103; Person; Human; end of time;238;Iter;1;432;356;751;284;837;998;403
2104; Person; Human; end of time;238;Iter;2;271;580;17;569;341;498;874
2105; Person; Human; end of time;238;Iter;3;752;774;137;77;329;275;934
2106; Person; Human; end of time;238;Average;807;703;926;225;559;40;236;471
2107; Person; Human; end of time;238;Maximum;109;164;466;474;648;618;159;986
2108; Person; Human; end of time;238;Std.Dev.;81;686;497;317;381;877;937;887
2109; Person; Human; end of time;238;Total;897;-;-;-;-;446;759;298
2111; Person; Human; end of time;239;Iter;1;541;155;549;334;183;641;250
2112; Person; Human; end of time;239;Iter;2;419;214;669;233;294;241;62
2113; Person; Human; end of time;239;Iter;3;339;834;587;254;152;947;677
2114; Person; Human; end of time;239;Average;482;437;584;582;209;362;383;390
2115; Person; Human; end of time;239;Maximum;598;969;820;898;540;261;681;906
2116; Person; Human; end of time;239;Std.Dev.;186;228;65;432;365;129;793;426
2117; Person; Human; end of time;239;Total;807;-;-;-;-;937;556;411
2119; Person; Human; end of time;240;Iter;1;340;667;580;364;837;596;864
2120; Person; Human; end of time;240;Iter;2;175;377;867;624;355;558;806
2121; Person; Human; end of time;240;Iter;3;366;183;857;297;890;79;940
2122; Person; Human; end of time;240;Iter;4;932;102;86;963;575;988;653
2123; Person; Human; end of time;240;Iter;5;741;869;475;19;573;87;716
2124; Person; Human; end of time;240;Average;776;63;7;989;505;159;700;931
2125; Person; Human; end of time;240;Maximum;464;690;58;409;532;56;636;250
2126; Person; Human; end of time;240;Std.Dev.;744;45;546;368;472;233;194;312
2127; Person; Human; end of time;240;Total;425;-;-;-;-;231;465;496
2129; Person; Human; end of time;241;Iter;1;906;728;100;743;929;135;150
2130; Person; Human; end of time;241;Iter;2;446;582;233;776;607;12;399
2131; Person; Human; end of time;241;Iter;3;111;130;572;803;478;527;302
2132; Person; Human; end of time;241;Iter;4;863;609;479;640;200;531;790
2133; Person; Human; end of time;241;Iter;5;97;554;19;709;219;535;43
2134; Person; Human; end of time;241;Average;323;953;623;807;31;421;981;264
2135; Person; Human; end of time;241;Maximum;380;788;531;58;503;868;709;129
2136; Person; Human; end of time;241;Std.Dev.;876;664;749;588;132;190;583;921
2137; Person; Human; end of time;241;Total;280;-;-;-;-;234;958;282
2139; Person; Human; end of time;242;Iter;1;890;330;340;414;599;12;202
2140; Person; Human; end of time;242;Iter;2;539;909;543;178;19;522;154
2141; Person; Human; end of time;242;Iter;3;15;28;295;12;417;943;335
2142; Person; Human; end of time;242;Iter;4;815;379;841;320;797;664;701
2143; Person; Human; end of time;242;Iter;5;9;905;939;211;702;994;58
2144; Person; Human; end of time;242;Average;719;695;374;32;923;4;782;112
2145; Person; Human; end of time;242;Maximum;10;672;193;670;997;774;576;232
2146; Person; Human; end of time;242;Std.Dev.;619;118;362;296;978;813;283;473
2147; Person; Human; end of time;242;Total;17;-;-;-;-;329;320;416
2149; Person; Human; end of time;243;Iter;1;36;865;626;379;930;62;579
2150; Person; Human; end of time;243;Iter;2;759;393;721;189;849;610;847
2151; Person; Human; end of time;243;Iter;3;662;649;909;444;953;543;20
2152; Person; Human; end of time;243;Iter;4;165;408;592;899;30;238;645
2153; Person; Human; end of time;243;Iter;5;233;484;373;104;886;717;28
2154; Person; Human; end of time;243;Average;751;825;508;423;338;456;950;981
2155; Person; Human; end of time;243;Maximum;400;465;668;714;56;81;730;824
2156; Person; Human; end of time;243;Std.Dev.;689;719;206;166;394;734;466;631
2157; Person; Human; end of time;243;Total;728;-;-;-;-;150;270;736
2159; Person; Human; end of time;244;Iter;1;767;258;317;60;298;804;110
2160; Person; Human; end of time;244;Iter;2;435;233;860;401;986;525;357
2161; Person; Human; end of time;244;Iter;3;363;178;723;74;318;227;81
2162; Person; Human; end of time;244;Iter;4;28;411;482;436;843;98;862
2163; Person; Human; end of time;244;Iter;5;438;862;267;1;113;665;233
2164; Person; Human; end of time;244;Average;264;880;376;367;212;308;296;619
2165; Person; Human; end of time;244;Maximum;4;781;428;846;952;75;987;748
2166; Person; Human; end of time;244;Std.Dev.;292;779;12;183;630;249;174;853
2167; Person; Human; end of time;244;Total;931;-;-;-;-;541;748;589
2169; Person; Human; end of time;245;Iter;1;690;463;819;23;510;450;722
2170; Person; Human; end of time;245;Iter;2;294;761;500;402;707;948;239
2171; Person; Human; end of time;245;Iter;3;246;46;158;847;40;273;148
2172; Person; Human; end of time;245;Iter;4;975;291;392;226;690;971;988
2173; Person; Human; end of time;245;Iter;5;534;110;185;241;47;771;842
2174; Person; Human; end of time;245;Average;12;115;529;423;137;253;607;332
2175; Person; Human; end of time;245;Maximum;927;917;404;17;535;571;946;976
2176; Person; Human; end of time;245;Std.Dev.;42;862;617;389;657;329;365;439
2177; Person; Human; end of time;245;Total;315;-;-;-;-;651;483;415
2179; Person; Human; end of time;246;Iter;1;808;664;939;178;731;578;628
2180; Person; Human; end of time;246;Iter;2;228;224;611;143;1;445;347
2181; Person; Human; end of time;246;Iter;3;47;768;71;800;386;229;510
2182; Person; Human; end of time;246;Iter;4;108;652;731;108;822;534;672
2183; Person; Human; end of time;246;Iter;5;662;624;54;542;427;695;832
2184; Person; Human; end of time;246;Average;198;738;970;286;355;464;56;849
